,Track Name,Track Links,Race Time,Race Number
52,GOSFORD (NSW),https://getsetbet.com.au//racing/greyhounds/gosford/race-11-2136120-1108307,2024-05-21 13:21,11
53,GOSFORD (NSW),https://getsetbet.com.au//racing/greyhounds/gosford/race-12-2136123-1108307,2024-05-21 13:36,12
54,WARRAGUL (VIC),https://getsetbet.com.au//racing/greyhounds/warragul/race-1-2134862-1108188,Event Finished,1
55,WARRAGUL (VIC),https://getsetbet.com.au//racing/greyhounds/warragul/race-2-2134870-1108188,Event Finished,2
56,WARRAGUL (VIC),https://getsetbet.com.au//racing/greyhounds/warragul/race-3-2134877-1108188,Event Finished,3
57,WARRAGUL (VIC),https://getsetbet.com.au//racing/greyhounds/warragul/race-4-2134883-1108188,Event Finished,4
58,WARRAGUL (VIC),https://getsetbet.com.au//racing/greyhounds/warragul/race-5-2134887-1108188,Event Finished,5
59,WARRAGUL (VIC),https://getsetbet.com.au//racing/greyhounds/warragul/race-6-2134892-1108188,Event Finished,6
60,WARRAGUL (VIC),https://getsetbet.com.au//racing/greyhounds/warragul/race-7-2134898-1108188,Event Finished,7
61,WARRAGUL (VIC),https://getsetbet.com.au//racing/greyhounds/warragul/race-8-2134903-1108188,Event Finished,8
62,WARRAGUL (VIC),https://getsetbet.com.au//racing/greyhounds/warragul/race-9-2134907-1108188,2024-05-21 12:27,9
63,WARRAGUL (VIC),https://getsetbet.com.au//racing/greyhounds/warragul/race-10-2134910-1108188,2024-05-21 12:49,10
64,WARRAGUL (VIC),https://getsetbet.com.au//racing/greyhounds/warragul/race-11-2134911-1108188,2024-05-21 13:08,11
65,WARRAGUL (VIC),https://getsetbet.com.au//racing/greyhounds/warragul/race-12-2134915-1108188,2024-05-21 13:27,12
66,MANDURAH (WA),https://getsetbet.com.au//racing/greyhounds/mandurah/race-1-2134568-1108154,Event Finished,1
67,MANDURAH (WA),https://getsetbet.com.au//racing/greyhounds/mandurah/race-2-2134572-1108154,Event Finished,2
68,MANDURAH (WA),https://getsetbet.com.au//racing/greyhounds/mandurah/race-3-2134582-1108154,Event Finished,3
69,MANDURAH (WA),https://getsetbet.com.au//racing/greyhounds/mandurah/race-4-2134589-1108154,Event Finished,4
70,MANDURAH (WA),https://getsetbet.com.au//racing/greyhounds/mandurah/race-5-2134592-1108154,2024-05-21 12:24,5
71,MANDURAH (WA),https://getsetbet.com.au//racing/greyhounds/mandurah/race-6-2134596-1108154,2024-05-21 12:42,6
72,MANDURAH (WA),https://getsetbet.com.au//racing/greyhounds/mandurah/race-7-2134604-1108154,2024-05-21 13:01,7
73,MANDURAH (WA),https://getsetbet.com.au//racing/greyhounds/mandurah/race-8-2134612-1108154,2024-05-21 13:24,8
74,MANDURAH (WA),https://getsetbet.com.au//racing/greyhounds/mandurah/race-9-2134618-1108154,2024-05-21 13:49,9
75,MANDURAH (WA),https://getsetbet.com.au//racing/greyhounds/mandurah/race-10-2134624-1108154,2024-05-21 14:04,10
76,MANDURAH (WA),https://getsetbet.com.au//racing/greyhounds/mandurah/race-11-2134629-1108154,2024-05-21 14:24,11
77,ANGLE PARK (SA),https://getsetbet.com.au//racing/greyhounds/angle-park/race-1-2136130-1108312,Event Finished,1
78,ANGLE PARK (SA),https://getsetbet.com.au//racing/greyhounds/angle-park/race-2-2136131-1108312,Event Finished,2
79,ANGLE PARK (SA),https://getsetbet.com.au//racing/greyhounds/angle-park/race-3-2136132-1108312,Event Finished,3
80,ANGLE PARK (SA),https://getsetbet.com.au//racing/greyhounds/angle-park/race-4-2136133-1108312,Event Finished,4
81,ANGLE PARK (SA),https://getsetbet.com.au//racing/greyhounds/angle-park/race-5-2136134-1108312,Event Finished,5
82,ANGLE PARK (SA),https://getsetbet.com.au//racing/greyhounds/angle-park/race-6-2136135-1108312,Event Finished,6
83,ANGLE PARK (SA),https://getsetbet.com.au//racing/greyhounds/angle-park/race-7-2136136-1108312,Event Finished,7
84,ANGLE PARK (SA),https://getsetbet.com.au//racing/greyhounds/angle-park/race-8-2136139-1108312,Event Finished,8
85,ANGLE PARK (SA),https://getsetbet.com.au//racing/greyhounds/angle-park/race-9-2136141-1108312,2024-05-21 12:14,9
86,ANGLE PARK (SA),https://getsetbet.com.au//racing/greyhounds/angle-park/race-10-2136144-1108312,2024-05-21 12:36,10
87,GEELONG (VIC),https://getsetbet.com.au//racing/greyhounds/geelong/race-1-2134831-1108185,Event Finished,1
88,GEELONG (VIC),https://getsetbet.com.au//racing/greyhounds/geelong/race-2-2134838-1108185,Event Finished,2
89,GEELONG (VIC),https://getsetbet.com.au//racing/greyhounds/geelong/race-3-2134844-1108185,Event Finished,3
90,GEELONG (VIC),https://getsetbet.com.au//racing/greyhounds/geelong/race-4-2134850-1108185,Event Finished,4
91,GEELONG (VIC),https://getsetbet.com.au//racing/greyhounds/geelong/race-5-2134855-1108185,Event Finished,5
92,GEELONG (VIC),https://getsetbet.com.au//racing/greyhounds/geelong/race-6-2134863-1108185,Event Finished,6
93,GEELONG (VIC),https://getsetbet.com.au//racing/greyhounds/geelong/race-7-2134871-1108185,Event Finished,7
94,GEELONG (VIC),https://getsetbet.com.au//racing/greyhounds/geelong/race-8-2134878-1108185,Event Finished,8
95,GEELONG (VIC),https://getsetbet.com.au//racing/greyhounds/geelong/race-9-2134885-1108185,Event Finished,9
96,GEELONG (VIC),https://getsetbet.com.au//racing/greyhounds/geelong/race-10-2134889-1108185,Event Finished,10
97,GEELONG (VIC),https://getsetbet.com.au//racing/greyhounds/geelong/race-11-2134894-1108185,Event Finished,11
98,GEELONG (VIC),https://getsetbet.com.au//racing/greyhounds/geelong/race-12-2134899-1108185,Event Finished,12
99,HORSHAM (VIC),https://getsetbet.com.au//racing/greyhounds/horsham/race-1-2134829-1108183,Event Finished,1
100,HORSHAM (VIC),https://getsetbet.com.au//racing/greyhounds/horsham/race-2-2134836-1108183,Event Finished,2
101,HORSHAM (VIC),https://getsetbet.com.au//racing/greyhounds/horsham/race-3-2134843-1108183,Event Finished,3
102,HORSHAM (VIC),https://getsetbet.com.au//racing/greyhounds/horsham/race-4-2134847-1108183,Event Finished,4
103,HORSHAM (VIC),https://getsetbet.com.au//racing/greyhounds/horsham/race-5-2134853-1108183,Event Finished,5
104,HORSHAM (VIC),https://getsetbet.com.au//racing/greyhounds/horsham/race-6-2134860-1108183,Event Finished,6
